# Assembly Statistics Report
# Assembly name:  ASM836960v1
# Organism name:  Vibrio cholerae (g-proteobacteria)
# Infraspecific name:  strain=RFB16
# Taxid:          666
# BioSample:      SAMN12572458
# BioProject:     PRJNA560225
# Submitter:      University of Pittsburgh
# Date:           2019-09-11
# Assembly type:  na
# Release type:   major
# Assembly level: Complete Genome
# Genome representation: full
# Assembly method: Flye 2.4.1 v. 2.4.1
# Expected final version: yes
# Genome coverage: 555x
# Sequencing technology: PacBio Sequel II
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_008369605.1
# RefSeq assembly accession: GCF_008369605.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_008369615.1	GCF_008369615.1	Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	2	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	unnamed	Plasmid	all	total-length	49113
Primary Assembly	unnamed	Plasmid	all	ungapped-length	49113
Primary Assembly	unnamed	Plasmid	all	scaffold-count	1
Primary Assembly	unnamed	Plasmid	all	scaffold-N50	49113
Primary Assembly	unnamed	Plasmid	all	spanned-gaps	0
Primary Assembly	unnamed	Plasmid	all	unspanned-gaps	0
Primary Assembly	unnamed	Plasmid	all	gc-perc	41
Primary Assembly	unnamed	Plasmid	assembled-molecule	total-length	49113
Primary Assembly	unnamed	Plasmid	assembled-molecule	ungapped-length	49113
Primary Assembly	unnamed	Plasmid	assembled-molecule	scaffold-count	1
Primary Assembly	unnamed	Plasmid	assembled-molecule	scaffold-N50	49113
Primary Assembly	unnamed	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	unnamed	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	unnamed	Plasmid	assembled-molecule	gc-perc	41
Primary Assembly	unnamed	Plasmid	unlocalized-scaffold	total-length	0
Primary Assembly	unnamed	Plasmid	unlocalized-scaffold	ungapped-length	0
Primary Assembly	unnamed	Plasmid	unlocalized-scaffold	scaffold-count	0
Primary Assembly	unnamed	Plasmid	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	unnamed	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	unnamed	Plasmid	unlocalized-scaffold	unspanned-gaps	0
